category,category,speaker_in_sample_A,sample_A_ID,quality
bonafide,target,LA_0013,LA_E_9197189.wav,6
bonafide,target,LA_0029,LA_E_3332044.wav,9
bonafide,target,LA_0016,LA_E_8383122.wav,7
bonafide,target,LA_0030,LA_E_7442247.wav,7
bonafide,target,LA_0016,LA_E_9748113.wav,4
bonafide,target,LA_0045,LA_E_9020889.wav,6
bonafide,target,LA_0025,LA_E_2557908.wav,7
spoofed,A15,LA_0001,LA_E_5544904.wav,3
bonafide,non-target,LA_0053,LA_E_2872448.wav,7
bonafide,non-target,LA_0061,LA_E_9474907.wav,8
bonafide,target,LA_0029,LA_E_3289994.wav,5
spoofed,A11,LA_0004,LA_E_2838611.wav,7
bonafide,target,LA_0025,LA_E_2492310.wav,9
bonafide,target,LA_0026,LA_E_6445505.wav,5
bonafide,target,LA_0024,LA_E_5576566.wav,6
bonafide,target,LA_0046,LA_E_6066342.wav,3
bonafide,target,LA_0028,LA_E_5945408.wav,7
bonafide,target,LA_0044,LA_E_2021989.wav,3
spoofed,A11,LA_0005,LA_E_4010966.wav,0
bonafide,target,LA_0010,LA_E_3270904.wav,7
spoofed,A14,LA_0034,LA_E_6742514.wav,2
bonafide,target,LA_0009,LA_E_6076994.wav,9
bonafide,target,LA_0005,LA_E_1309520.wav,9
bonafide,target,LA_0048,LA_E_4479093.wav,7
bonafide,target,LA_0019,LA_E_5836870.wav,3
bonafide,non-target,LA_0051,LA_E_5667435.wav,6
spoofed,A13,LA_0044,LA_E_1260979.wav,8
bonafide,non-target,LA_0056,LA_E_5282275.wav,6
bonafide,target,LA_0032,LA_E_1250691.wav,4
bonafide,non-target,LA_0055,LA_E_6112048.wav,6
spoofed,A11,LA_0017,LA_E_6815461.wav,0
spoofed,A15,LA_0007,LA_E_9543393.wav,8
bonafide,non-target,LA_0067,LA_E_1301756.wav,8
spoofed,A08,LA_0011,LA_E_2213108.wav,0
spoofed,A19,LA_0013,LA_E_8608448.wav,3
bonafide,target,LA_0008,LA_E_6231780.wav,4
bonafide,target,LA_0024,LA_E_4916439.wav,9
spoofed,A18,LA_0003,LA_E_8452305.wav,3
bonafide,target,LA_0031,LA_E_1729164.wav,7
spoofed,A18,LA_0010,LA_E_4217982.wav,3
bonafide,non-target,LA_0050,LA_E_3489613.wav,6
bonafide,non-target,LA_0052,LA_E_5212743.wav,7
spoofed,A19,LA_0016,LA_E_8474417.wav,0
spoofed,A19,LA_0027,LA_E_3088379.wav,6
spoofed,A16,LA_0004,LA_E_1237820.wav,3
bonafide,target,LA_0018,LA_E_1724045.wav,6
spoofed,A14,LA_0038,LA_E_7083906.wav,3
bonafide,non-target,LA_0057,LA_E_3793484.wav,6
bonafide,target,LA_0045,LA_E_5024945.wav,8
bonafide,target,LA_0036,LA_E_8295850.wav,6
bonafide,non-target,LA_0063,LA_E_4691178.wav,3
bonafide,target,LA_0030,LA_E_8978645.wav,9
bonafide,target,LA_0028,LA_E_9099300.wav,3
bonafide,target,LA_0023,LA_E_3231699.wav,9
bonafide,target,LA_0027,LA_E_8330665.wav,6
bonafide,target,LA_0002,LA_E_9954560.wav,8
bonafide,non-target,LA_0058,LA_E_4188335.wav,3
bonafide,target,LA_0019,LA_E_5763952.wav,9
bonafide,non-target,LA_0060,LA_E_6543651.wav,3
spoofed,A11,LA_0042,LA_E_9497931.wav,0
bonafide,non-target,LA_0058,LA_E_1514361.wav,6
bonafide,non-target,LA_0064,LA_E_6823150.wav,9
bonafide,target,LA_0046,LA_E_9597400.wav,9
bonafide,non-target,LA_0051,LA_E_3816210.wav,6
bonafide,target,LA_0019,LA_E_7720483.wav,9
bonafide,target,LA_0005,LA_E_5295660.wav,3
bonafide,target,LA_0010,LA_E_2915068.wav,8
spoofed,A14,LA_0010,LA_E_6952708.wav,0
bonafide,target,LA_0020,LA_E_7268595.wav,9
bonafide,target,LA_0017,LA_E_5943876.wav,8
spoofed,A08,LA_0038,LA_E_9933865.wav,0
bonafide,target,LA_0035,LA_E_1317708.wav,9
bonafide,target,LA_0026,LA_E_7745909.wav,9
bonafide,target,LA_0036,LA_E_7839360.wav,9
spoofed,A17,LA_0035,LA_E_3478302.wav,2
bonafide,non-target,LA_0057,LA_E_4447372.wav,6
bonafide,target,LA_0046,LA_E_2525648.wav,9
bonafide,target,LA_0006,LA_E_9375708.wav,9
spoofed,A13,LA_0043,LA_E_1544490.wav,0
bonafide,target,LA_0027,LA_E_1097979.wav,6
bonafide,target,LA_0027,LA_E_6354812.wav,9
bonafide,target,LA_0005,LA_E_7438598.wav,8
bonafide,non-target,LA_0063,LA_E_5263265.wav,5
spoofed,A11,LA_0044,LA_E_5429827.wav,0
bonafide,target,LA_0022,LA_E_6434568.wav,2
bonafide,target,LA_0030,LA_E_3698964.wav,8
bonafide,non-target,LA_0056,LA_E_3010572.wav,8
bonafide,target,LA_0007,LA_E_1298039.wav,4
spoofed,A17,LA_0001,LA_E_9890776.wav,1
bonafide,target,LA_0046,LA_E_7243029.wav,5
bonafide,target,LA_0028,LA_E_7768253.wav,8
bonafide,target,LA_0047,LA_E_2526979.wav,4
bonafide,target,LA_0036,LA_E_6372044.wav,9
bonafide,non-target,LA_0059,LA_E_6426282.wav,6
bonafide,target,LA_0039,LA_E_4593048.wav,3
bonafide,non-target,LA_0067,LA_E_4059607.wav,9
bonafide,target,LA_0002,LA_E_2284593.wav,7
bonafide,target,LA_0006,LA_E_3914043.wav,3
bonafide,target,LA_0037,LA_E_2738834.wav,3
spoofed,A13,LA_0036,LA_E_1115136.wav,0
bonafide,target,LA_0039,LA_E_2877092.wav,6
bonafide,target,LA_0041,LA_E_4214594.wav,6
bonafide,target,LA_0048,LA_E_5898586.wav,9
bonafide,target,LA_0016,LA_E_3432530.wav,8
bonafide,target,LA_0034,LA_E_6525398.wav,9
bonafide,target,LA_0039,LA_E_2735649.wav,6
bonafide,target,LA_0010,LA_E_9118386.wav,6
spoofed,A11,LA_0041,LA_E_5803648.wav,3
bonafide,non-target,LA_0051,LA_E_9402290.wav,4
bonafide,non-target,LA_0064,LA_E_1734861.wav,2
spoofed,A16,LA_0029,LA_E_3498353.wav,0
bonafide,target,LA_0022,LA_E_8258387.wav,6
bonafide,target,LA_0010,LA_E_2433256.wav,6
spoofed,A10,LA_0028,LA_E_6798646.wav,1
bonafide,target,LA_0017,LA_E_1439559.wav,3
bonafide,target,LA_0029,LA_E_2138707.wav,1
bonafide,target,LA_0004,LA_E_4843342.wav,0
bonafide,target,LA_0022,LA_E_8258387.wav,6
bonafide,non-target,LA_0067,LA_E_3844233.wav,0
bonafide,non-target,LA_0066,LA_E_2485708.wav,5
bonafide,non-target,LA_0049,LA_E_1648428.wav,2
spoofed,A16,LA_0036,LA_E_3177069.wav,1
bonafide,non-target,LA_0057,LA_E_4447372.wav,7
bonafide,non-target,LA_0051,LA_E_2921544.wav,3
spoofed,A08,LA_0010,LA_E_9139855.wav,7
bonafide,target,LA_0035,LA_E_8080502.wav,3
bonafide,target,LA_0003,LA_E_6047769.wav,5
bonafide,non-target,LA_0065,LA_E_5593264.wav,2
spoofed,A18,LA_0007,LA_E_8708549.wav,6
spoofed,A17,LA_0032,LA_E_7276777.wav,9
spoofed,A07,LA_0023,LA_E_3351802.wav,8
bonafide,target,LA_0011,LA_E_1708938.wav,2
bonafide,non-target,LA_0065,LA_E_4204674.wav,4
bonafide,target,LA_0012,LA_E_8678285.wav,0
bonafide,target,LA_0008,LA_E_4757272.wav,8
bonafide,non-target,LA_0067,LA_E_9696236.wav,6
bonafide,target,LA_0021,LA_E_3049507.wav,6
bonafide,target,LA_0022,LA_E_5321810.wav,7
bonafide,target,LA_0033,LA_E_1569650.wav,7
spoofed,A16,LA_0010,LA_E_9666717.wav,1
bonafide,target,LA_0024,LA_E_7192318.wav,8
bonafide,non-target,LA_0058,LA_E_8042308.wav,7
bonafide,target,LA_0006,LA_E_9375708.wav,8
bonafide,non-target,LA_0056,LA_E_7641175.wav,8
bonafide,target,LA_0045,LA_E_4943653.wav,8
bonafide,target,LA_0033,LA_E_8647656.wav,8
bonafide,target,LA_0042,LA_E_6688548.wav,8
bonafide,non-target,LA_0067,LA_E_2724873.wav,8
bonafide,target,LA_0019,LA_E_2850364.wav,8
bonafide,non-target,LA_0064,LA_E_7769271.wav,8
bonafide,target,LA_0009,LA_E_2291623.wav,8
bonafide,target,LA_0025,LA_E_3753496.wav,6
spoofed,A14,LA_0021,LA_E_1930635.wav,4
bonafide,non-target,LA_0066,LA_E_5668603.wav,8
bonafide,non-target,LA_0065,LA_E_5724393.wav,6
bonafide,target,LA_0022,LA_E_3801231.wav,8
bonafide,target,LA_0022,LA_E_5094290.wav,6
spoofed,A13,LA_0006,LA_E_2855673.wav,1
bonafide,target,LA_0016,LA_E_8249275.wav,6
spoofed,A19,LA_0024,LA_E_1798055.wav,1
bonafide,target,LA_0033,LA_E_4427197.wav,8
bonafide,non-target,LA_0053,LA_E_1644905.wav,7
bonafide,non-target,LA_0055,LA_E_2073512.wav,8
bonafide,target,LA_0014,LA_E_2595475.wav,6
spoofed,A19,LA_0002,LA_E_6024590.wav,4
bonafide,target,LA_0018,LA_E_2349059.wav,6
bonafide,target,LA_0023,LA_E_5818343.wav,9
bonafide,non-target,LA_0067,LA_E_4217025.wav,7
bonafide,target,LA_0017,LA_E_4787047.wav,7
spoofed,A16,LA_0016,LA_E_6340116.wav,8
bonafide,target,LA_0022,LA_E_8644364.wav,8
bonafide,target,LA_0048,LA_E_9270727.wav,6
spoofed,A13,LA_0017,LA_E_3703448.wav,1
spoofed,A19,LA_0035,LA_E_4551255.wav,1
spoofed,A07,LA_0013,LA_E_6506055.wav,3
bonafide,target,LA_0024,LA_E_1133889.wav,8
bonafide,target,LA_0010,LA_E_3270904.wav,6
spoofed,A13,LA_0037,LA_E_8570925.wav,0
bonafide,target,LA_0035,LA_E_3321149.wav,7
bonafide,target,LA_0001,LA_E_4223720.wav,6
bonafide,target,LA_0035,LA_E_3321149.wav,6
bonafide,target,LA_0028,LA_E_1082271.wav,7
spoofed,A17,LA_0047,LA_E_8091846.wav,3
bonafide,target,LA_0007,LA_E_5516580.wav,6
spoofed,A16,LA_0016,LA_E_9795004.wav,7
bonafide,target,LA_0033,LA_E_3998141.wav,5
bonafide,non-target,LA_0059,LA_E_2291153.wav,5
spoofed,A09,LA_0017,LA_E_7511062.wav,5
bonafide,target,LA_0007,LA_E_1571445.wav,5
bonafide,target,LA_0042,LA_E_9461614.wav,4
bonafide,target,LA_0028,LA_E_3805522.wav,5
bonafide,non-target,LA_0054,LA_E_9077219.wav,5
spoofed,A11,LA_0047,LA_E_3081070.wav,5
bonafide,target,LA_0036,LA_E_6042550.wav,6
bonafide,target,LA_0048,LA_E_3651892.wav,4
bonafide,non-target,LA_0065,LA_E_2511059.wav,3
spoofed,A11,LA_0027,LA_E_4446758.wav,1
spoofed,A12,LA_0028,LA_E_9432034.wav,6
spoofed,A19,LA_0043,LA_E_6178473.wav,3
bonafide,target,LA_0007,LA_E_7360795.wav,3
bonafide,target,LA_0001,LA_E_7952980.wav,6
bonafide,target,LA_0040,LA_E_1159833.wav,6
bonafide,target,LA_0027,LA_E_7340037.wav,6
bonafide,target,LA_0046,LA_E_2100890.wav,3
bonafide,non-target,LA_0049,LA_E_6076795.wav,7
spoofed,A17,LA_0024,LA_E_8225965.wav,1
bonafide,non-target,LA_0058,LA_E_4677898.wav,9
spoofed,A17,LA_0035,LA_E_6095052.wav,3
bonafide,target,LA_0024,LA_E_9347318.wav,7
spoofed,A13,LA_0006,LA_E_7611669.wav,1
spoofed,A08,LA_0038,LA_E_8262722.wav,5
spoofed,A11,LA_0038,LA_E_6901228.wav,0
spoofed,A18,LA_0041,LA_E_3443293.wav,0
bonafide,non-target,LA_0065,LA_E_7010243.wav,8
bonafide,target,LA_0014,LA_E_1903191.wav,0
bonafide,non-target,LA_0068,LA_E_9601956.wav,8
bonafide,non-target,LA_0061,LA_E_3444316.wav,8
spoofed,A19,LA_0041,LA_E_4439379.wav,2
spoofed,A12,LA_0010,LA_E_2604084.wav,5
bonafide,non-target,LA_0065,LA_E_9211880.wav,7
bonafide,target,LA_0024,LA_E_7580717.wav,8
bonafide,non-target,LA_0057,LA_E_6474938.wav,0
spoofed,A18,LA_0018,LA_E_7699956.wav,5
bonafide,target,LA_0017,LA_E_7829061.wav,9
bonafide,non-target,LA_0063,LA_E_2082015.wav,8
bonafide,target,LA_0029,LA_E_4210965.wav,8
bonafide,non-target,LA_0063,LA_E_3885033.wav,9
bonafide,target,LA_0025,LA_E_2492310.wav,6
bonafide,target,LA_0045,LA_E_3555959.wav,3
spoofed,A17,LA_0048,LA_E_5124066.wav,0
bonafide,target,LA_0032,LA_E_5614625.wav,2
spoofed,A17,LA_0007,LA_E_4223629.wav,1
bonafide,non-target,LA_0049,LA_E_7871281.wav,2
spoofed,A19,LA_0008,LA_E_9699829.wav,0
bonafide,target,LA_0003,LA_E_2194928.wav,6
bonafide,target,LA_0042,LA_E_6688548.wav,5
spoofed,A13,LA_0015,LA_E_5558825.wav,0
spoofed,A19,LA_0003,LA_E_2381589.wav,3
bonafide,non-target,LA_0064,LA_E_9265511.wav,6
bonafide,target,LA_0015,LA_E_1171007.wav,9
bonafide,target,LA_0043,LA_E_2095975.wav,7
spoofed,A16,LA_0024,LA_E_6262149.wav,0
bonafide,non-target,LA_0053,LA_E_6764440.wav,9
spoofed,A11,LA_0018,LA_E_6424917.wav,4
bonafide,non-target,LA_0049,LA_E_4256659.wav,6
bonafide,target,LA_0032,LA_E_9104242.wav,6
bonafide,target,LA_0047,LA_E_8598615.wav,3
bonafide,target,LA_0024,LA_E_1133889.wav,9
bonafide,non-target,LA_0066,LA_E_5668603.wav,6
bonafide,target,LA_0048,LA_E_1890409.wav,7
bonafide,non-target,LA_0051,LA_E_5311555.wav,6
bonafide,non-target,LA_0054,LA_E_9077219.wav,1
bonafide,non-target,LA_0066,LA_E_6744954.wav,6
bonafide,target,LA_0022,LA_E_8395746.wav,9
bonafide,non-target,LA_0063,LA_E_4180632.wav,5
bonafide,target,LA_0018,LA_E_7105013.wav,7
bonafide,target,LA_0009,LA_E_1753473.wav,6
bonafide,target,LA_0030,LA_E_7893685.wav,3
spoofed,A19,LA_0023,LA_E_8049103.wav,1
bonafide,non-target,LA_0066,LA_E_4234347.wav,8
bonafide,non-target,LA_0054,LA_E_5000725.wav,6
bonafide,non-target,LA_0061,LA_E_9474907.wav,9
bonafide,non-target,LA_0054,LA_E_3569893.wav,5
bonafide,target,LA_0045,LA_E_9350862.wav,6
bonafide,target,LA_0010,LA_E_3065062.wav,9
bonafide,target,LA_0038,LA_E_7137829.wav,3
bonafide,target,LA_0018,LA_E_5418332.wav,8
bonafide,non-target,LA_0063,LA_E_9277077.wav,5
bonafide,target,LA_0032,LA_E_3386573.wav,3
spoofed,A09,LA_0041,LA_E_8261975.wav,3
bonafide,target,LA_0001,LA_E_3661291.wav,8
bonafide,target,LA_0023,LA_E_1753551.wav,5
bonafide,non-target,LA_0050,LA_E_4903415.wav,6
spoofed,A18,LA_0037,LA_E_8829852.wav,1
bonafide,target,LA_0012,LA_E_1265546.wav,8
spoofed,A08,LA_0039,LA_E_2559158.wav,0
bonafide,target,LA_0047,LA_E_6372387.wav,7
bonafide,target,LA_0043,LA_E_4576020.wav,5
bonafide,non-target,LA_0053,LA_E_4148892.wav,4
bonafide,non-target,LA_0061,LA_E_3748441.wav,8
bonafide,target,LA_0017,LA_E_1535308.wav,5
bonafide,non-target,LA_0054,LA_E_3058816.wav,8
spoofed,A08,LA_0014,LA_E_6432120.wav,0
bonafide,target,LA_0030,LA_E_5194251.wav,4
bonafide,target,LA_0029,LA_E_4295796.wav,8
bonafide,target,LA_0007,LA_E_7080591.wav,3
spoofed,A18,LA_0042,LA_E_2489513.wav,1
bonafide,non-target,LA_0057,LA_E_6587675.wav,3
spoofed,A14,LA_0015,LA_E_2207289.wav,7
bonafide,target,LA_0032,LA_E_7590179.wav,8
bonafide,target,LA_0002,LA_E_7617702.wav,9
bonafide,target,LA_0041,LA_E_8328224.wav,6
spoofed,A19,LA_0017,LA_E_1145066.wav,0
bonafide,non-target,LA_0053,LA_E_6800517.wav,9
spoofed,A15,LA_0009,LA_E_4336551.wav,4
spoofed,A10,LA_0040,LA_E_3949427.wav,1
bonafide,target,LA_0033,LA_E_4778030.wav,9
bonafide,non-target,LA_0053,LA_E_6764440.wav,7
bonafide,target,LA_0020,LA_E_5694987.wav,3
bonafide,non-target,LA_0049,LA_E_3485931.wav,8
bonafide,target,LA_0016,LA_E_5919308.wav,6
bonafide,non-target,LA_0064,LA_E_3698865.wav,7
bonafide,target,LA_0015,LA_E_6197004.wav,6
bonafide,target,LA_0033,LA_E_4498530.wav,7
spoofed,A17,LA_0013,LA_E_6556474.wav,0
bonafide,target,LA_0039,LA_E_8195846.wav,5
spoofed,A08,LA_0005,LA_E_7391570.wav,4
spoofed,A12,LA_0003,LA_E_1028101.wav,9
bonafide,target,LA_0027,LA_E_8995638.wav,7
bonafide,target,LA_0032,LA_E_5114329.wav,7
bonafide,target,LA_0037,LA_E_3003169.wav,6
spoofed,A09,LA_0042,LA_E_9412233.wav,2
spoofed,A13,LA_0039,LA_E_2049448.wav,0
bonafide,non-target,LA_0049,LA_E_8439668.wav,6
spoofed,A11,LA_0041,LA_E_7031202.wav,8
bonafide,target,LA_0020,LA_E_3664773.wav,9
bonafide,non-target,LA_0067,LA_E_6618439.wav,6
bonafide,target,LA_0043,LA_E_3053874.wav,7
spoofed,A17,LA_0034,LA_E_8476437.wav,1
bonafide,non-target,LA_0065,LA_E_7603920.wav,1
bonafide,target,LA_0028,LA_E_5085628.wav,9
bonafide,target,LA_0030,LA_E_2705382.wav,7
bonafide,target,LA_0021,LA_E_6587297.wav,4
bonafide,target,LA_0045,LA_E_2520809.wav,9
spoofed,A17,LA_0014,LA_E_1652087.wav,0
bonafide,non-target,LA_0051,LA_E_3744905.wav,7
bonafide,target,LA_0037,LA_E_9397037.wav,8
spoofed,A08,LA_0034,LA_E_8656600.wav,0
bonafide,target,LA_0026,LA_E_4436110.wav,8
bonafide,non-target,LA_0057,LA_E_2744897.wav,6
bonafide,non-target,LA_0067,LA_E_9098424.wav,9
bonafide,target,LA_0043,LA_E_9559141.wav,9
spoofed,A10,LA_0034,LA_E_9447009.wav,8
spoofed,A18,LA_0044,LA_E_1049133.wav,6
bonafide,non-target,LA_0053,LA_E_2205883.wav,9
spoofed,A17,LA_0043,LA_E_1004665.wav,8
bonafide,target,LA_0028,LA_E_5521640.wav,6
bonafide,target,LA_0035,LA_E_1423605.wav,8
bonafide,target,LA_0015,LA_E_6937172.wav,6
bonafide,target,LA_0005,LA_E_5386544.wav,9
spoofed,A14,LA_0039,LA_E_5935300.wav,8
bonafide,non-target,LA_0061,LA_E_6845521.wav,7
bonafide,non-target,LA_0053,LA_E_2205883.wav,9
bonafide,target,LA_0010,LA_E_5535714.wav,7
bonafide,target,LA_0004,LA_E_4335942.wav,3
bonafide,target,LA_0046,LA_E_5399550.wav,9
bonafide,target,LA_0005,LA_E_9780006.wav,7
spoofed,A10,LA_0047,LA_E_2907605.wav,3
bonafide,non-target,LA_0064,LA_E_3166347.wav,8
bonafide,target,LA_0033,LA_E_7791871.wav,9
bonafide,non-target,LA_0065,LA_E_1008476.wav,6
bonafide,target,LA_0015,LA_E_9159436.wav,7
bonafide,non-target,LA_0066,LA_E_2485708.wav,7
bonafide,target,LA_0006,LA_E_9782792.wav,3
spoofed,A17,LA_0019,LA_E_5781710.wav,0
bonafide,non-target,LA_0050,LA_E_5906048.wav,9
bonafide,non-target,LA_0052,LA_E_7690893.wav,7
bonafide,target,LA_0017,LA_E_7622164.wav,5
bonafide,target,LA_0032,LA_E_5696271.wav,8
bonafide,target,LA_0031,LA_E_1244505.wav,8
bonafide,non-target,LA_0066,LA_E_2485708.wav,9
bonafide,target,LA_0047,LA_E_5945714.wav,3
bonafide,non-target,LA_0052,LA_E_2379520.wav,9
spoofed,A10,LA_0037,LA_E_1297030.wav,4
bonafide,non-target,LA_0052,LA_E_6310132.wav,6
spoofed,A09,LA_0035,LA_E_2903134.wav,0
bonafide,non-target,LA_0058,LA_E_2536345.wav,1
bonafide,non-target,LA_0059,LA_E_3387905.wav,8
bonafide,target,LA_0020,LA_E_8745281.wav,7
bonafide,target,LA_0048,LA_E_5641828.wav,9
spoofed,A13,LA_0018,LA_E_7072327.wav,3
bonafide,non-target,LA_0064,LA_E_9469423.wav,8
spoofed,A18,LA_0025,LA_E_9703952.wav,6
bonafide,target,LA_0004,LA_E_8369616.wav,8
bonafide,target,LA_0014,LA_E_5287603.wav,9
spoofed,A10,LA_0005,LA_E_8751912.wav,9
spoofed,A09,LA_0007,LA_E_4705706.wav,0
bonafide,target,LA_0045,LA_E_2670418.wav,8
spoofed,A13,LA_0041,LA_E_7955120.wav,0
bonafide,non-target,LA_0060,LA_E_9470174.wav,3
bonafide,non-target,LA_0064,LA_E_9523806.wav,9
bonafide,target,LA_0024,LA_E_4854821.wav,6
